fecha,cnae_cod,cnae_nombre,afiliados_medios_reg_general,afiliados_medios_autonomos,afiliados_medios_total
2009-02-01,59,"Actividades cinematográficas, de vídeo y prog. telev.",35698.4,6970.1,42668.5
2009-02-01,60,Actividades de programación y emisión de radio y telev.,26657.55,801.5,27459.05
2009-02-01,61,Telecomunicaciones,86039.55,4428.7,90468.25
2009-02-01,62,"Programación, consultoría y otras activ. ,  Informáticas",138201,17057.1,155258.1
2009-02-01,63,Servicios de información,12759.45,5168.85,17928.300000000003
2009-02-01,64,"Servicios financieros, excepto seguros y fondos pens.",290138.25,3053.25,293191.5
2009-02-01,65,"Seguros, reaseguros y fondos de pensiones",59947.95,4132.75,64080.7
2009-02-01,66,Actividades auxiliares a los servicios financieros y segur.,45632,43104.95,88736.95
2009-02-01,68,Actividades inmobiliarias,65410.7,30843.95,96254.65
2009-02-01,69,Actividades jurídicas y de contabilidad,219838.9,66691.2,286530.1
2009-02-01,70,Actividades de las sedes centrales; activ. Consul. Gest. Empr.,52156.95,15086.85,67243.8
2009-02-01,71,Servicios técnicos de arquitectura e ingeniería,191765.8,49765.45,241531.25
2009-02-01,72,Investigación y desarrollo,52646.15,8864.55,61510.7
2009-02-01,73,Publicidad y estudios de mercado,89306.7,22989.2,112295.9
2009-02-01,74,"Otras actividades profesionales, científicas y técnicas",32201,29721.65,61922.65
2009-02-01,75,Actividades veterinarias,9232.4,8178.65,17411.05
2009-02-01,77,Actividades de alquiler,191828.8,54253.35,246082.15
2009-02-01,78,Actividades relacionadas con el empleo,107272,1785.3,109057.3
2009-02-01,79,"Actividades de agencias de viajes, operadores turis.",48251.1,10251.5,58502.6
2009-02-01,80,Actividades de seguridad e investigación,122832.4,1816.45,124648.84999999999
2009-02-01,81,Servicios a edificios y actividades de jardinería,497188.55,47210,544398.55
2009-02-01,82,Actividades administrativas de oficina y activ. Aux. empresas,133549.05,19552.35,153101.4
2009-02-01,84,Administración Pòblica y defensa; Seguridad Soc. oblig.,1066366.45,479.95,1066846.4
2009-02-01,85,Educación,702322.15,57354.6,759676.75
2009-02-01,86,Actividades sanitarias,848393.95,66892.1,915286.0499999999
2009-02-01,87,Asistencia en establecimientos residenciales,180889.85,2357.9,183247.75
2009-02-01,88,Actividades de servicios sociales sin alojamiento,211983.6,3706,215689.6
2009-02-01,90,"Actividades de creación, artísticas y espectáculos",26655.25,25049.1,51704.35
2009-02-01,91,"Actividades de bibliotecas, archivos, museos y o. act. Cult.",13980.9,1663.55,15644.449999999999
2009-02-01,92,Actividades de juegos de azar y apuestas,30075.8,5222.8,35298.6
2009-02-01,93,"Actividades deportivas, recreativas y de entretenimiento",123456.6,18147.65,141604.25
2009-02-01,94,Actividades asociativas,141839.1,20031.25,161870.35
2009-02-01,95,"Reparación de ordenadores, efectos personales y uso dom.",39365.15,78168.05,117533.20000000001
2009-02-01,96,Otros servicios personales,160739.95,113512,274251.95
2009-02-01,97,Actividades de los hogares como empleado,41402.95,323.7,41726.649999999994
2009-02-01,98,Actividades de los hogares como productores de bienes,0,0,0
2009-02-01,99,Actividades de organizaciones y organ. Extraterritoriales,2101.25,11,2112.25
2009-03-01,01,"Agricultura, ganadería, caza y servicios",34333.72,293541.54,327875.26
2009-03-01,02,Silvicultura y explotación forestal,17735.59,3386.76,21122.35
2009-03-01,03,Pesca y acuicultura,2036.13,2967.54,5003.67
2009-03-01,05,"Extracción de antracita, hulla y lignito",97.5,274.81,372.31
2009-03-01,06,Extracción de crudo de petróleo y gas natural,36.77,6.18,42.95
2009-03-01,07,Extracción de minerales metálicos,1384.63,72.45,1457.0800000000002
2009-03-01,08,Otras industrias extractivas,23485.81,1924.86,25410.670000000002
2009-03-01,09,Actividades de apoyo a las industrias extractivas,1449.59,104.59,1554.1799999999998
2009-03-01,10,Industria de la alimentación,301219.86,38623.17,339843.02999999997
2009-03-01,11,Fabricación de bebidas,49301.18,3415.18,52716.36
2009-03-01,12,Industria del tabaco,3706.27,49,3755.27
2009-03-01,13,Industria textil,45071.95,5360.9,50432.85
2009-03-01,14,Confección de prendas de vestir,58459.54,14269.22,72728.76
2009-03-01,15,Industria del cuero y del calzado,31199.68,5317,36516.68
2009-03-01,16,"Industria de la madera y del corcho, excepto muebles",65877.86,21703.09,87580.95
2009-03-01,17,Industria del papel,45196.18,1743.81,46939.99
2009-03-01,18,Artes gráficas y reproducción de soportes grabados,76350.13,16033.5,92383.63
2009-03-01,19,Coquerías y refino de petróleo,9516.09,46.72,9562.81
2009-03-01,20,Industria química,87547.59,3484.86,91032.45
2009-03-01,21,Fabricación de productos farmacéuticos,43016.36,101.86,43118.22
2009-03-01,22,Fabricación de productos de caucho y plásticos,94822.22,5844.77,100666.99
2009-03-01,23,Fabricación de otros productos minerales,142385.81,13030.27,155416.08
2009-03-01,24,"Metalurgia; fabricación de productos de hierro, acero",96407.22,11520.13,107927.35
2009-03-01,25,"Fabricación de productos metálicos, excepto maquina.",254801.18,42249.45,297050.63
2009-03-01,26,"Fabricación de productos informáticos, electró. ópticos",26694.77,2335.04,29029.81
2009-03-01,27,Fabricación de material y equipo eléctrico,54080.54,5971.22,60051.76
2009-03-01,28,Fabricación de maquinaria y equipo n.c.o.p.,137264.27,17244.36,154508.63
2009-03-01,29,"Fabricación de vehículos de motor, remolques",151895.54,2148.9,154044.44
2009-03-01,30,Fabricación de otro material de transporte,57102.59,2313,59415.59
2009-03-01,31,Fabricación de muebles,75330,20913.95,96243.95
2009-03-01,32,Otras industrias manufactureras,25173.09,6174.22,31347.31
